id,version,number,type,page,choices,answer,lo,kLevel,hasExplanation,hasVisualAsset,warnings
v1.7a-1,V1.7A,1,exam,3,4,c,FL-1.1.1,K1,True,False,
v1.7a-2,V1.7A,2,exam,3,4,a,FL-1.2.1,K2,True,False,
v1.7a-3,V1.7A,3,exam,3,4,a,FL-1.3.1,K2,True,False,
v1.7a-4,V1.7A,4,exam,4,4,b,FL-1.4.1,K2,True,False,
v1.7a-5,V1.7A,5,exam,4,4,b,FL-1.4.2,K2,True,False,
v1.7a-6,V1.7A,6,exam,5,5,"a,e",FL-1.4.5,K2,True,False,
v1.7a-7,V1.7A,7,exam,5,4,b,FL-1.5.1,K2,True,False,
v1.7a-8,V1.7A,8,exam,5,4,d,FL-1.5.2,K1,True,False,
v1.7a-9,V1.7A,9,exam,6,4,d,FL-2.1.2,K1,True,False,
v1.7a-10,V1.7A,10,exam,6,4,c,FL-2.1.3,K1,True,False,
v1.7a-11,V1.7A,11,exam,6,4,d,FL-2.1.5,K2,True,False,
v1.7a-12,V1.7A,12,exam,7,4,c,FL-2.1.6,K2,True,False,
v1.7a-13,V1.7A,13,exam,7,4,a,FL-2.2.1,K2,True,False,
v1.7a-14,V1.7A,14,exam,8,4,b,FL-2.2.3,K2,True,False,
v1.7a-15,V1.7A,15,exam,8,4,a,FL-3.1.2,K2,True,False,
v1.7a-16,V1.7A,16,exam,9,4,d,FL-3.2.1,K1,True,False,
v1.7a-17,V1.7A,17,exam,9,4,b,FL-3.2.4,K2,True,False,
v1.7a-18,V1.7A,18,exam,9,4,d,FL-3.2.5,K1,True,False,
v1.7a-19,V1.7A,19,exam,10,4,c,FL-4.1.1,K2,True,False,
v1.7a-20,V1.7A,20,exam,10,4,b,FL-4.2.1,K3,True,False,
v1.7a-21,V1.7A,21,exam,11,4,a,FL-4.2.2,K3,True,True,
v1.7a-22,V1.7A,22,exam,12,4,d,FL-4.2.3,K3,True,True,
v1.7a-23,V1.7A,23,exam,13,4,d,FL-4.2.4,K3,True,True,
v1.7a-24,V1.7A,24,exam,13,4,a,FL-4.3.1,K2,True,False,
v1.7a-25,V1.7A,25,exam,14,4,d,FL-4.3.3,K2,True,False,
v1.7a-26,V1.7A,26,exam,14,4,a,FL-4.4.1,K2,True,False,
v1.7a-27,V1.7A,27,exam,14,4,c,FL-4.4.2,K2,True,False,
v1.7a-28,V1.7A,28,exam,15,4,b,FL-4.5.2,K2,True,False,
v1.7a-29,V1.7A,29,exam,15,4,a,FL-4.5.3,K3,True,False,
v1.7a-30,V1.7A,30,exam,16,4,c,FL-5.1.2,K1,True,False,
v1.7a-31,V1.7A,31,exam,16,5,"c,e",FL-5.1.3,K2,True,False,
v1.7a-32,V1.7A,32,exam,16,4,d,FL-5.1.4,K3,True,False,
v1.7a-33,V1.7A,33,exam,17,4,a,FL-5.1.5,K3,True,True,
v1.7a-34,V1.7A,34,exam,17,4,a,FL-5.1.7,K2,True,False,
v1.7a-35,V1.7A,35,exam,18,4,c,FL-5.2.4,K2,True,False,
v1.7a-36,V1.7A,36,exam,18,4,d,FL-5.3.3,K2,True,False,
v1.7a-37,V1.7A,37,exam,19,4,c,FL-5.4.1,K2,True,False,
v1.7a-38,V1.7A,38,exam,19,4,c,FL-5.5.1,K3,True,False,
v1.7a-39,V1.7A,39,exam,20,4,c,FL-6.1.1,K2,True,False,
v1.7a-40,V1.7A,40,exam,20,4,b,FL-6.2.1,K1,True,False,
v1.7a-a1,V1.7A,A1,additional,21,4,a,FL-1.1.2,K2,True,False,
v1.7a-a2,V1.7A,A2,additional,21,4,d,FL-1.2.2,K1,True,False,
v1.7a-a3,V1.7A,A3,additional,21,4,d,FL-1.2.3,K2,True,False,
v1.7a-a4,V1.7A,A4,additional,22,4,d,FL-1.4.3,K2,True,False,
v1.7a-a5,V1.7A,A5,additional,22,4,c,FL-1.4.4,K2,True,False,
v1.7a-a6,V1.7A,A6,additional,23,4,d,FL-1.5.3,K2,True,False,
v1.7a-a7,V1.7A,A7,additional,23,5,"b,c",FL-2.1.1,K2,True,False,
v1.7a-a8,V1.7A,A8,additional,24,4,c,FL-2.1.4,K2,True,False,
v1.7a-a9,V1.7A,A9,additional,24,4,b,FL-2.2.2,K2,True,False,
v1.7a-a10,V1.7A,A10,additional,25,4,a,FL-2.3.1,K2,True,False,
v1.7a-a11,V1.7A,A11,additional,25,4,c,FL-3.1.1,K1,True,False,
v1.7a-a12,V1.7A,A12,additional,26,4,d,FL-3.1.3,K2,True,False,
v1.7a-a13,V1.7A,A13,additional,26,4,b,FL-3.2.2,K2,True,False,
v1.7a-a14,V1.7A,A14,additional,26,4,b,FL-3.2.3,K1,True,False,
v1.7a-a15,V1.7A,A15,additional,27,4,c,FL-4.2.2,K3,True,False,
v1.7a-a16,V1.7A,A16,additional,27,4,d,FL-4.3.2,K2,True,False,
v1.7a-a17,V1.7A,A17,additional,28,4,c,FL-4.4.3,K2,True,False,
v1.7a-a18,V1.7A,A18,additional,28,4,b,FL-4.5.1,K2,True,False,
v1.7a-a19,V1.7A,A19,additional,28,4,d,FL-5.1.1,K2,True,False,
v1.7a-a20,V1.7A,A20,additional,29,4,b,FL-5.1.4,K3,True,True,
v1.7a-a21,V1.7A,A21,additional,29,4,a,FL-5.1.6,K1,True,False,
v1.7a-a22,V1.7A,A22,additional,30,4,c,FL-5.2.1,K1,True,False,
v1.7a-a23,V1.7A,A23,additional,30,4,a,FL-5.2.2,K2,True,False,
v1.7a-a24,V1.7A,A24,additional,31,4,d,FL-5.2.3,K2,True,False,
v1.7a-a25,V1.7A,A25,additional,31,5,"a,d",FL-5.3.1,K1,True,False,
v1.7a-a26,V1.7A,A26,additional,31,4,b,FL-5.3.2,K2,True,False,
v1.7b-1,V1.7B,1,exam,3,4,d,FL-1.2.1,K2,True,False,
v1.7b-2,V1.7B,2,exam,3,4,b,FL-1.2.2,K1,True,False,
v1.7b-3,V1.7B,3,exam,3,4,d,FL-1.3.1,K2,True,False,
v1.7b-4,V1.7B,4,exam,4,4,a,FL-1.4.1,K2,True,False,
v1.7b-5,V1.7B,5,exam,4,4,c,FL-1.4.2,K2,True,False,
v1.7b-6,V1.7B,6,exam,4,4,b,FL-1.4.4,K2,True,False,
v1.7b-7,V1.7B,7,exam,5,4,b,FL-1.5.1,K2,True,False,
v1.7b-8,V1.7B,8,exam,5,4,d,FL-1.5.2,K1,True,False,
v1.7b-9,V1.7B,9,exam,5,4,b,FL-2.1.1,K2,True,False,
v1.7b-10,V1.7B,10,exam,6,4,b,FL-2.1.2,K1,True,False,
v1.7b-11,V1.7B,11,exam,6,4,a,FL-2.1.3,K1,True,False,
v1.7b-12,V1.7B,12,exam,6,4,b,FL-2.1.4,K2,True,False,
v1.7b-13,V1.7B,13,exam,7,4,a,FL-2.2.1,K2,True,False,
v1.7b-14,V1.7B,14,exam,7,4,d,FL-2.2.3,K2,True,False,
v1.7b-15,V1.7B,15,exam,7,4,b,FL-3.1.3,K2,True,False,
v1.7b-16,V1.7B,16,exam,8,4,c,FL-3.2.1,K1,True,False,
v1.7b-17,V1.7B,17,exam,8,4,d,FL-3.2.2,K2,True,False,
v1.7b-18,V1.7B,18,exam,9,4,c,FL-3.2.3,K1,True,False,
v1.7b-19,V1.7B,19,exam,9,4,d,FL-4.1.1,K2,True,False,
v1.7b-20,V1.7B,20,exam,10,4,a,FL-4.2.1,K3,True,False,
v1.7b-21,V1.7B,21,exam,10,4,d,FL-4.2.2,K3,True,False,
v1.7b-22,V1.7B,22,exam,11,4,b,FL-4.2.3,K3,True,True,
v1.7b-23,V1.7B,23,exam,12,4,c,FL-4.2.4,K3,True,True,
v1.7b-24,V1.7B,24,exam,12,4,b,FL-4.3.1,K2,True,False,
v1.7b-25,V1.7B,25,exam,13,4,c,FL-4.3.2,K2,True,False,
v1.7b-26,V1.7B,26,exam,13,5,"a,e",FL-4.4.2,K2,True,False,
v1.7b-27,V1.7B,27,exam,13,4,d,FL-4.4.3,K2,True,False,
v1.7b-28,V1.7B,28,exam,14,4,b,FL-4.5.2,K2,True,False,
v1.7b-29,V1.7B,29,exam,14,4,d,FL-4.5.3,K3,True,False,
v1.7b-30,V1.7B,30,exam,15,4,a,FL-5.1.3,K2,True,False,
v1.7b-31,V1.7B,31,exam,15,4,b,FL-5.1.4,K3,True,False,
v1.7b-32,V1.7B,32,exam,16,4,b,FL-5.1.5,K3,True,True,
v1.7b-33,V1.7B,33,exam,16,4,d,FL-5.1.7,K2,True,False,
v1.7b-34,V1.7B,34,exam,17,4,c,FL-5.2.4,K2,True,False,
v1.7b-35,V1.7B,35,exam,17,4,a,FL-5.3.1,K1,True,False,
v1.7b-36,V1.7B,36,exam,18,4,a,FL-5.3.3,K2,True,False,
v1.7b-37,V1.7B,37,exam,18,4,a,FL-5.4.1,K2,True,False,
v1.7b-38,V1.7B,38,exam,19,4,b,FL-5.5.1,K3,True,False,
v1.7b-39,V1.7B,39,exam,20,4,c,FL-6.1.1,K2,True,False,
v1.7b-40,V1.7B,40,exam,20,4,a,FL-6.2.1,K1,True,False,
v1.6-1,V1.6,1,exam,3,4,b,FL-1.1.1,K1,True,False,
v1.6-2,V1.6,2,exam,3,4,c,FL-1.1.2,K2,True,False,
v1.6-3,V1.6,3,exam,3,4,b,FL-1.3.1,K2,True,False,
v1.6-4,V1.6,4,exam,4,5,"b,e",FL-1.4.1,K2,True,False,
v1.6-5,V1.6,5,exam,4,4,a,FL-1.4.3,K2,True,False,
v1.6-6,V1.6,6,exam,5,4,c,FL-1.4.5,K2,True,False,
v1.6-7,V1.6,7,exam,5,4,b,FL-1.5.2,K1,True,False,
v1.6-8,V1.6,8,exam,5,4,a,FL-1.5.3,K2,True,False,
v1.6-9,V1.6,9,exam,6,4,d,FL-2.1.2,K1,True,False,
v1.6-10,V1.6,10,exam,6,4,d,FL-2.1.3,K1,True,False,
v1.6-11,V1.6,11,exam,6,4,b,FL-2.1.5,K2,True,False,
v1.6-12,V1.6,12,exam,7,4,c,FL-2.1.6,K2,True,False,
v1.6-13,V1.6,13,exam,7,4,d,FL-2.2.1,K2,True,False,
v1.6-14,V1.6,14,exam,7,4,b,FL-2.2.3,K2,True,False,
v1.6-15,V1.6,15,exam,8,4,d,FL-3.1.3,K2,True,False,
v1.6-16,V1.6,16,exam,8,4,a,FL-3.2.1,K1,True,False,
v1.6-17,V1.6,17,exam,9,4,b,FL-3.2.4,K2,True,False,
v1.6-18,V1.6,18,exam,9,4,b,FL-3.2.5,K1,True,False,
v1.6-19,V1.6,19,exam,10,4,c,FL-4.1.1,K2,True,False,
v1.6-20,V1.6,20,exam,10,4,a,FL-4.2.1,K3,True,False,
v1.6-21,V1.6,21,exam,11,4,d,FL-4.2.2,K3,True,True,
v1.6-22,V1.6,22,exam,11,4,d,FL-4.2.3,K3,True,True,
v1.6-23,V1.6,23,exam,12,4,a,FL-4.2.4,K3,True,True,
v1.6-24,V1.6,24,exam,13,4,c,FL-4.3.2,K2,True,True,
v1.6-25,V1.6,25,exam,13,4,a,FL-4.3.3,K2,True,False,
v1.6-26,V1.6,26,exam,14,4,b,FL-4.4.1,K2,True,False,
v1.6-27,V1.6,27,exam,14,4,d,FL-4.4.3,K2,True,False,
v1.6-28,V1.6,28,exam,15,4,b,FL-4.5.2,K2,True,False,
v1.6-29,V1.6,29,exam,15,4,d,FL-4.5.3,K3,True,False,
v1.6-30,V1.6,30,exam,16,4,a,FL-5.1.1,K2,True,False,
v1.6-31,V1.6,31,exam,16,4,c,FL-5.1.4,K3,True,True,
v1.6-32,V1.6,32,exam,17,4,a,FL-5.1.5,K3,True,True,
v1.6-33,V1.6,33,exam,17,4,b,FL-5.1.6,K1,True,False,
v1.6-34,V1.6,34,exam,18,4,d,FL-5.1.7,K2,True,False,
v1.6-35,V1.6,35,exam,18,4,c,FL-5.2.3,K2,True,False,
v1.6-36,V1.6,36,exam,18,4,b,FL-5.3.2,K2,True,False,
v1.6-37,V1.6,37,exam,19,4,d,FL-5.4.1,K2,True,False,
v1.6-38,V1.6,38,exam,19,4,b,FL-5.5.1,K3,True,False,
v1.6-39,V1.6,39,exam,20,4,d,FL-6.1.1,K2,True,False,
v1.6-40,V1.6,40,exam,20,4,d,FL-6.2.1,K1,True,False,
v1.5-1,V1.5,1,exam,3,4,d,FL-1.1.1,K1,True,False,
v1.5-2,V1.5,2,exam,3,4,c,FL-1.2.3,K2,True,False,
v1.5-3,V1.5,3,exam,4,4,a,FL-1.3.1,K2,True,False,
v1.5-4,V1.5,4,exam,4,4,b,FL-1.4.1,K2,True,False,
v1.5-5,V1.5,5,exam,5,4,a,FL-1.4.3,K2,True,False,
v1.5-6,V1.5,6,exam,5,4,d,FL-1.4.5,K2,True,False,
v1.5-7,V1.5,7,exam,5,4,a,FL-1.5.2,K1,True,False,
v1.5-8,V1.5,8,exam,6,4,b,FL-1.5.3,K2,True,False,
v1.5-9,V1.5,9,exam,6,4,a,FL-2.1.2,K1,True,False,
v1.5-10,V1.5,10,exam,7,4,a,FL-2.1.3,K1,True,False,
v1.5-11,V1.5,11,exam,7,4,d,FL-2.1.4,K2,True,False,
v1.5-12,V1.5,12,exam,7,4,b,FL-2.1.6,K2,True,False,
v1.5-13,V1.5,13,exam,8,4,a,FL-2.2.2,K2,True,False,
v1.5-14,V1.5,14,exam,8,4,b,FL-2.3.1,K2,True,False,
v1.5-15,V1.5,15,exam,8,4,c,FL-3.1.1,K1,True,False,
v1.5-16,V1.5,16,exam,9,4,c,FL-3.1.2,K2,True,False,
v1.5-17,V1.5,17,exam,9,4,b,FL-3.2.2,K2,True,False,
v1.5-18,V1.5,18,exam,10,4,b,FL-3.2.3,K1,True,False,
v1.5-19,V1.5,19,exam,10,4,b,FL-4.1.1,K2,True,False,
v1.5-20,V1.5,20,exam,11,5,"b,e",FL-4.2.1,K3,True,False,
v1.5-21,V1.5,21,exam,12,4,c,FL-4.2.2,K3,True,True,
v1.5-22,V1.5,22,exam,12,4,a,FL-4.2.3,K3,True,True,
v1.5-23,V1.5,23,exam,13,4,b,FL-4.2.4,K3,True,True,
v1.5-24,V1.5,24,exam,13,4,c,FL-4.3.1,K2,True,False,
v1.5-25,V1.5,25,exam,14,4,a,FL-4.3.3,K2,True,False,
v1.5-26,V1.5,26,exam,14,4,c,FL-4.4.1,K2,True,False,
v1.5-27,V1.5,27,exam,15,4,d,FL-4.4.2,K2,True,False,
v1.5-28,V1.5,28,exam,15,4,d,FL-4.5.1,K2,True,False,
v1.5-29,V1.5,29,exam,16,4,a,FL-4.5.3,K3,True,False,
v1.5-30,V1.5,30,exam,17,5,"b,d",FL-5.1.3,K2,True,False,
v1.5-31,V1.5,31,exam,17,4,a,FL-5.1.4,K3,True,False,
v1.5-32,V1.5,32,exam,18,4,b,FL-5.1.5,K3,True,True,
v1.5-33,V1.5,33,exam,18,4,c,FL-5.1.7,K2,True,False,
v1.5-34,V1.5,34,exam,19,4,b,FL-5.2.1,K1,True,False,
v1.5-35,V1.5,35,exam,19,5,"b,e",FL-5.2.2,K2,True,False,
v1.5-36,V1.5,36,exam,20,4,c,FL-5.3.2,K2,True,False,
v1.5-37,V1.5,37,exam,20,4,d,FL-5.4.1,K2,True,False,
v1.5-38,V1.5,38,exam,21,4,a,FL-5.5.1,K3,True,False,
v1.5-39,V1.5,39,exam,22,4,b,FL-6.1.1,K2,True,False,
v1.5-40,V1.5,40,exam,22,4,c,FL-6.2.1,K1,True,False,
